Ticker,Company_Name,Sector,Industry,Current_Price,Market_Cap,EPS,PE_Ratio,PB_Ratio,EV_EBITDA,Revenue,Revenue_Growth,EBIT,FCF,Total_Debt,Total_Cash,Debt_to_Equity,Current_Ratio,Profit_Margin,Operating_Margin,ROE,ROA,Beta,Cost_of_Equity,Cost_of_Debt,WACC,Dividend_Yield,Payout_Ratio,Earnings_Growth,Fetched_Date
ITD.BK,Italian-Thai Development Public Company Limited,Industrials,Engineering & Construction,0.26,1372765824,0.34,0.76470584,0.42139384,-5.66,35877778000.0,-0.417,4499053000.0,317473000.0,40239415296,5190761984,1151.236,0.668,0.0497,-0.42192,0.4289,-0.09076,0.621,0.07226,0.056579301246117195,0.04615404448288242,0.0,0.0,0.0,2026-04-11 06:13:13
SITH.BK,SITH.BK,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.095,0.05,0.095,0.0,0.0,0.0,2026-04-11 06:13:14
SORO.BK,SORO.BK,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.095,0.05,0.095,0.0,0.0,0.0,2026-04-11 06:13:15
STAN.BK,STAN.BK,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.095,0.05,0.095,0.0,0.0,0.0,2026-04-11 06:13:16
SOL.BK,SOL.BK,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.095,0.05,0.095,0.0,0.0,0.0,2026-04-11 06:13:17
SITHAI.BK,Srithai Superware Public Company Limited,Consumer Cyclical,Packaging & Containers,1.01,2663124480,0.08,12.625,0.64785117,3.657,7327539100.0,-0.027,360407074.0,326056370.0,944593280,675704448,21.729,1.812,0.02905,0.06652,0.04912,0.02849,0.322,0.05432000000000001,0.04253125429814618,0.04900624802578792,5.94,0.75,3.178,2026-04-11 06:13:17
VNT.BK,VNT.BK,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.095,0.05,0.095,0.0,0.0,0.0,2026-04-11 06:13:18
KBS.BK,Khonburi Sugar Public Company Limited,Consumer Defensive,Confectioners,5.5,3290833664,1.02,5.392157,0.66699004,3.872,10919840044.0,0.031,866085592.0,977468435.0,3334355456,169007872,67.583,1.163,0.05548,-0.14542,0.1259,0.04888,0.424,0.06044,0.04712125089041497,0.04899379938789732,9.09,0.6863,0.0,2026-04-11 06:13:19
JAS.BK,Jasmine International Public Company Limited,Communication Services,Telecom Services,1.11,9204202496,-0.06,0.0,1.2817552,-10.105,3871669981.0,0.783,-24480929.0,11018397.0,2325661696,2583289344,28.308,0.761,-0.12968999,-0.53080004,-0.05144,-0.05652,0.155,0.044300000000000006,0.0831506643174296,0.04878205095972045,0.0,0.0,0.0,2026-04-11 06:13:20
IRPC.BK,IRPC Public Company Limited,Energy,Oil & Gas Refining & Marketing,1.69,34493898752,-0.17,0.0,0.523544,12.31,279572415368.0,-0.087,-1952809343.0,22683709874.0,68260868096,27197859840,103.442,1.137,-0.01276,-0.00478,-0.0529,-0.0101499995,0.395,0.0587,0.03609681606355644,0.038888627548087105,0.59,0.72,0.0,2026-04-11 06:13:21
NOBLE.BK,Noble Development Public Company Limited,Real Estate,Real Estate - Development,1.99,2725133056,0.43,4.627907,0.40438935,-49.11,6929736036.0,-0.52,1138148922.0,1692115000.0,14009975808,1422184704,207.869,2.121,0.08559,-0.08673,0.088640004,-0.009,0.717,0.07802,0.02954450911782759,0.032491522573767945,20.9,0.24190001,0.0,2026-04-11 06:13:22
PCH.BK,PCH.BK,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.095,0.05,0.095,0.0,0.0,0.0,2026-04-11 06:13:22
PDC.BK,PDC.BK,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.095,0.05,0.095,0.0,0.0,0.0,2026-04-11 06:13:23
RML.BK,Raimon Land Public Company Limited,Real Estate,Real Estate - Development,0.12,695426496,-0.16,0.0,0.33426183,-16.738,129602505.0,-0.626,-546116196.0,-88901297.0,3240272896,18501948,155.21,0.912,0.0,-1.24431,-0.36756,-0.025409998,0.241,0.049460000000000004,0.11516829568912951,0.08459415390538039,0.0,0.0,0.0,2026-04-11 06:13:24
